Home Team,Away Team,,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
VILLARREAL,BARCELONA,,0-0,5.2,5.5,7.7,28,72,7,0,9,2,3,12,69,7,28,12,0,0,0,8,8,20,4,10,22,89,11,6,9,2,0,0,0,1,1,0,2014
DEPORTIVO,RAYO VALLECANO,,01-Jan,7,6.5,5.8,49,51,4,5,10,1,2,28,72,12,18,16,4,0,0,7,2,12,3,4,25,74,20,16,18,6,0,0,2,2,2,2,2014
REAL SOCIEDAD,REAL MADRID,,02-Feb,9,7.6,5.4,45,55,3,5,13,5,8,22,78,13,22,18,1,0,0,9,5,19,5,6,27,83,17,16,12,2,0,0,4,2,2,4,2014
ELCHE,GRANADA,,0-0,5,6.3,5.9,59,41,9,3,15,3,8,26,80,16,9,12,4,0,0,1,4,5,0,4,19,76,19,20,17,4,0,0,1,1,1,1,2014
ALMERÍA,CÓRDOBA,,01-Jan,4.5,6.3,6.9,52,48,6,2,12,4,8,25,75,21,16,14,4,0,0,5,4,11,2,2,28,76,24,39,22,4,0,0,1,1,1,1,2014
BARCELONA,ATHLETIC,,0-0,4.3,7.7,5.7,61,39,5,8,14,1,5,20,84,12,11,12,1,0,0,1,2,3,0,1,22,74,15,19,11,1,0,0,2,0,0,2,2014
MÁLAGA,LEVANTE,,0-0,3.1,7.4,5,59,41,9,7,18,2,20,22,76,29,23,10,1,0,0,5,0,10,5,1,24,62,29,39,15,2,0,0,0,0,0,0,2014
REAL MADRID,ATLETICO MADRID,,01-Jan,5.5,5.8,6.1,63,37,13,4,21,4,4,32,83,26,10,12,4,0,0,4,2,9,3,4,15,66,23,24,12,7,0,0,1,2,2,1,2014
CELTA,REAL SOCIEDAD,,1-0,8.4,6.6,6.2,53,47,5,6,13,2,5,20,78,22,25,13,1,0,0,8,5,19,6,8,23,77,26,28,15,5,0,0,2,2,2,2,2014
RAYO VALLECANO,ELCHE,,01-Jan,7.4,5.7,6.6,70,30,9,4,14,1,6,29,80,22,9,11,2,0,0,4,5,11,2,4,20,57,23,29,23,2,0,0,2,3,3,2,2014
VALENCIA,ESPANYOL,,1-0,6.3,7.3,5.8,55,45,0,6,11,5,7,19,85,10,31,15,1,0,0,1,3,8,4,8,36,76,10,15,13,1,0,0,3,1,1,3,2014
SEVILLA FC,GETAFE,,1-0,4.3,7.4,5.1,58,42,3,4,12,5,8,16,78,22,16,10,2,0,0,3,1,7,3,5,20,70,17,26,25,6,0,0,2,0,0,2,2014
GRANADA,VILLARREAL,,0-0,2.6,6.6,6.2,40,60,5,3,9,1,9,30,72,16,20,12,3,0,0,6,3,14,5,5,34,81,17,17,13,2,0,0,0,0,0,0,2014
EIBAR,DEPORTIVO,,0-1,2.8,5.4,7.2,58,42,7,2,14,5,4,29,76,21,21,11,0,0,0,0,1,4,3,8,25,66,25,35,23,6,0,0,0,1,1,0,2014
ELCHE,EIBAR,,0-2,4.2,5.7,6.7,63,37,8,6,15,1,10,33,80,14,15,9,2,0,0,2,4,8,2,7,25,66,21,37,10,1,0,0,0,2,2,0,2014
DEPORTIVO,REAL MADRID,,0-3,8.9,4,8.7,40,60,5,5,14,4,2,10,88,2,10,8,1,0,0,2,13,19,4,3,18,92,6,11,9,1,0,0,2,8,8,2,2014
ATHLETIC,GRANADA,,0-1,3.1,6.5,6.4,66,34,4,5,13,4,7,29,83,20,19,15,2,0,0,1,2,3,0,5,26,63,19,28,20,4,0,0,0,1,1,0,2014
ATLETICO MADRID,CELTA,,02-Jan,7.5,6.6,6.1,49,51,8,8,18,2,6,23,76,33,15,9,1,0,0,0,4,4,0,3,25,78,16,36,17,3,0,0,2,2,2,2,2014
ESPANYOL,MÁLAGA,,1-0,8.4,6.4,6.5,36,64,2,8,13,3,7,27,64,12,15,14,3,0,0,6,3,9,0,2,22,78,19,14,16,5,0,0,2,2,2,2,2014
REAL SOCIEDAD,ALMERÍA,,0-1,8.3,5.2,6.5,57,43,10,6,22,6,13,22,80,12,21,19,1,0,0,6,5,13,2,7,8,72,25,31,17,7,1,0,1,2,2,1,2014
VILLARREAL,RAYO VALLECANO,,01-Feb,8.5,7.7,4.8,44,56,7,9,19,3,11,18,75,20,27,11,2,0,0,4,3,10,3,5,28,80,16,17,18,2,0,0,4,2,2,4,2014
CÓRDOBA,SEVILLA FC,,0-1,6.2,4.5,7,61,39,5,3,9,1,6,20,82,18,13,11,6,0,0,4,8,15,3,4,17,70,17,12,24,2,0,0,1,3,3,1,2014
LEVANTE,BARCELONA,,0-2,5.9,4,8.7,25,75,3,2,9,4,3,17,70,6,28,13,1,0,1,7,8,17,2,6,15,92,10,11,11,2,0,0,0,5,5,0,2014
GETAFE,VALENCIA,,0-2,5.1,5,7.3,57,43,4,5,12,3,6,13,85,7,10,25,6,0,0,1,3,7,3,1,20,79,16,15,17,2,1,0,0,3,3,0,2014
REAL MADRID,ELCHE,,03-Jan,7.5,8,3.8,64,36,8,12,23,3,8,18,91,7,5,15,2,0,0,5,3,10,2,2,10,80,10,19,15,1,0,0,5,1,1,5,2014
CELTA,DEPORTIVO,,1-0,5.1,6.9,5.5,53,47,5,4,11,2,13,21,71,20,15,15,3,0,0,0,3,5,2,4,39,71,15,26,15,3,0,0,2,1,1,2,2014
ALMERÍA,ATLETICO MADRID,,0-0,3.7,4.9,7,39,61,4,1,6,1,2,17,68,20,17,14,3,0,0,8,9,19,2,10,21,81,28,14,16,6,0,0,0,1,1,0,2014
EIBAR,VILLARREAL,,1-0,4.5,6,6.5,35,65,2,3,7,2,2,24,60,19,37,14,4,0,0,8,4,15,3,10,34,81,10,24,17,4,0,0,1,1,1,1,2014
RAYO VALLECANO,ATHLETIC,,01-Jan,5.6,7.1,5.1,50,50,8,5,15,2,1,41,70,22,15,18,2,0,0,4,3,8,1,2,38,65,27,15,17,2,0,0,2,1,1,2,2014
MÁLAGA,BARCELONA,,0-0,2.2,6.9,5.9,31,69,4,2,6,0,2,24,61,16,14,15,2,0,0,5,0,10,5,8,25,88,13,15,13,2,0,0,0,0,0,0,2014
SEVILLA FC,REAL SOCIEDAD,,1-0,4.1,7.5,5.6,51,49,4,8,19,7,11,23,77,28,33,12,6,0,0,5,1,8,2,4,23,77,21,33,8,2,0,0,1,0,0,1,2014
GRANADA,LEVANTE,,0-0,3,5.2,7,56,44,5,0,7,2,5,39,72,28,18,14,2,0,0,5,4,10,1,4,24,63,22,19,14,6,0,0,0,1,1,0,2014
ESPANYOL,GETAFE,,0-0,3.8,7.3,6.1,40,60,3,3,8,2,6,29,65,27,25,17,1,0,0,2,2,7,3,4,27,80,17,23,17,2,0,0,2,0,0,2,2014
VALENCIA,CÓRDOBA,,2-0,4.5,7.5,4.5,60,40,8,8,19,3,3,24,85,22,28,11,1,0,0,0,1,2,1,3,29,70,15,20,22,3,0,0,3,0,0,3,2014
ELCHE,CELTA,,0-0,3.9,5.6,6.6,43,57,8,3,14,3,0,21,69,22,17,12,4,0,0,10,4,16,2,4,22,75,36,17,14,2,0,0,0,1,1,0,2014
VILLARREAL,REAL MADRID,,0-2,4.6,6,7,50,50,8,5,19,6,7,20,82,11,16,7,0,0,0,4,3,11,4,6,15,86,13,28,10,1,0,0,0,2,2,0,2014
BARCELONA,GRANADA,,3-0,7,10,3.7,69,31,5,12,19,2,8,20,89,6,9,11,1,0,0,6,1,9,2,1,23,79,7,26,11,3,0,0,6,0,0,6,2014
ATLETICO MADRID,SEVILLA FC,,2-0,5.3,8.3,4.1,47,53,4,6,11,1,5,24,72,22,23,14,4,0,0,1,1,4,2,3,25,75,20,24,16,3,0,0,4,0,0,4,2014
LEVANTE,RAYO VALLECANO,,0-0,4.4,4.1,8,43,57,6,0,7,1,5,24,67,21,20,21,4,0,0,6,5,13,2,7,20,78,15,28,16,3,0,0,0,2,2,0,2014
ATHLETIC,EIBAR,,0-0,2,5.9,6,70,30,8,1,13,4,6,31,82,26,16,13,5,0,0,7,2,10,1,2,21,55,19,27,22,6,0,0,0,0,0,0,2014
GETAFE,MÁLAGA,,1-0,2.8,6.9,5.2,43,57,3,3,9,3,3,22,67,11,25,8,0,0,0,6,0,10,4,4,38,74,16,24,16,4,1,0,1,0,0,1,2014
DEPORTIVO,ALMERÍA,,0-0,3.9,5.6,7.2,56,44,4,1,8,3,6,18,80,13,28,14,2,0,0,6,6,15,3,5,19,73,14,22,18,4,0,0,0,1,1,0,2014
REAL SOCIEDAD,VALENCIA,,01-Jan,4.4,6.6,6.2,55,45,6,5,18,7,11,38,78,24,19,13,3,0,0,1,2,7,4,4,20,72,15,35,17,5,0,0,1,1,1,1,2014
CÓRDOBA,ESPANYOL,,0-0,2.1,7.2,4.8,60,40,5,4,10,1,3,28,71,31,21,13,2,0,0,1,2,4,1,5,31,56,19,36,26,6,0,0,0,0,0,0,2014
GETAFE,CÓRDOBA,,0-0,5.8,5.9,7.2,59,41,11,5,18,2,8,38,82,30,13,12,1,0,0,4,3,10,3,3,23,65,28,33,11,2,0,0,1,1,1,1,2014
VALENCIA,ATLETICO MADRID,,03-Jan,6.4,7.1,5,41,59,2,3,6,1,1,19,71,24,39,23,4,0,0,10,5,19,4,6,23,79,19,5,14,1,1,0,3,1,1,3,2014
RAYO VALLECANO,BARCELONA,,0-2,5.3,4.7,6.8,41,59,8,4,14,2,6,30,77,16,10,19,4,2,0,8,7,18,3,7,21,81,16,14,7,2,0,0,0,2,2,0,2014
EIBAR,LEVANTE,,0-2,8.5,6.1,6.2,59,41,6,6,14,2,4,33,69,22,19,12,3,0,0,5,5,13,3,4,19,60,24,39,16,1,0,0,3,3,3,3,2014
MÁLAGA,GRANADA,,0-1,6.2,6.9,5.1,55,45,8,3,17,6,3,25,80,13,23,12,1,0,1,2,5,8,1,3,25,73,13,27,15,4,0,0,2,1,1,2,2014
ALMERÍA,ELCHE,,01-Jan,7,6.5,5.1,56,44,11,3,16,2,9,25,75,16,21,13,2,0,0,3,3,6,0,5,18,67,21,35,19,5,1,0,2,2,2,2,2014
SEVILLA FC,DEPORTIVO,,02-Jan,6.9,7.5,4.8,58,42,4,10,16,2,9,17,90,9,14,11,2,0,0,1,5,7,1,2,13,81,14,21,10,2,0,0,4,1,1,4,2014
CELTA,VILLARREAL,,01-Feb,6.5,5,7.5,66,34,5,5,16,6,11,24,81,19,8,15,5,1,0,7,4,11,0,4,15,66,17,36,22,4,0,0,1,3,3,1,2014
ESPANYOL,REAL SOCIEDAD,,1-0,4.5,6.8,6,41,59,3,4,10,3,4,17,71,16,21,20,6,0,0,7,4,13,2,4,23,80,20,26,12,2,0,0,2,0,0,2,2014
REAL MADRID,ATHLETIC,,2-0,7.2,8.8,4.5,60,40,5,14,19,0,8,24,87,11,11,9,1,0,0,0,5,6,1,7,14,76,10,17,10,2,0,0,5,0,0,5,2014
GRANADA,RAYO VALLECANO,,0-0,3.3,5.2,7.9,40,60,4,1,9,4,3,28,67,22,22,17,4,0,0,4,2,8,2,6,32,77,17,15,13,5,0,0,0,1,1,0,2014
LEVANTE,REAL MADRID,,0-2,6.5,3.7,9.8,39,61,5,1,11,5,6,12,83,10,14,13,4,0,0,6,11,21,4,3,10,91,10,23,8,0,0,0,0,5,5,0,2014
ATHLETIC,CELTA,,1-0,3.8,6.9,6.2,46,54,7,4,13,2,9,30,68,37,18,13,3,0,0,1,1,4,2,2,19,69,29,22,16,3,0,0,1,1,1,1,2014
BARCELONA,EIBAR,,0-0,6,8.7,5.2,75,25,9,12,27,6,12,23,91,10,9,9,2,0,0,2,2,4,0,3,17,69,21,35,13,2,0,0,3,0,0,3,2014
CÓRDOBA,MÁLAGA,,0-2,5.2,5.6,7.4,62,38,2,2,8,4,6,27,82,17,22,16,2,0,0,2,4,8,2,13,19,69,11,17,21,2,0,0,1,2,2,1,2014
ATLETICO MADRID,ESPANYOL,,1-0,4.6,8.1,4.9,59,41,6,9,20,5,12,23,82,24,16,19,0,0,0,5,1,7,1,1,15,75,7,39,19,0,0,0,2,0,0,2,2014
DEPORTIVO,VALENCIA,,2-0,5.1,8.5,4.3,40,60,5,5,12,2,3,18,75,13,24,19,3,0,0,4,1,8,3,5,24,83,14,18,19,3,0,0,3,0,0,3,2014
ELCHE,SEVILLA FC,,0-0,4,4.6,7.1,63,37,7,1,12,4,6,20,81,15,10,18,5,0,0,1,7,10,2,4,11,68,15,15,24,2,0,0,0,2,2,0,2014
VILLARREAL,ALMERÍA,,1-0,4.5,7,5.8,49,51,4,8,17,5,6,20,76,16,24,20,5,0,0,5,3,10,2,4,32,73,5,13,16,2,0,0,2,0,0,2,2014
REAL SOCIEDAD,GETAFE,,0-0,7.2,5.8,7.1,61,39,7,2,13,4,8,29,80,21,15,10,1,0,0,3,7,16,6,4,28,70,15,18,13,4,0,0,1,2,2,1,2014
CELTA,LEVANTE,,1-0,5.1,8.1,4.8,70,30,7,4,13,2,7,12,87,24,17,14,0,0,0,3,1,4,1,0,16,64,14,14,16,3,0,0,3,0,0,3,2014
ALMERÍA,ATHLETIC,,0-0,2.8,6,6.4,44,56,5,3,8,0,4,33,61,31,26,10,2,0,0,4,1,6,1,7,31,65,22,22,14,1,0,0,0,1,1,0,2014
REAL MADRID,BARCELONA,,01-Jan,7.4,7.4,5.6,42,58,5,6,18,7,3,15,85,8,25,11,2,0,0,5,5,15,5,9,18,90,5,13,10,4,0,0,3,1,1,3,2014
VALENCIA,ELCHE,,2-0,5.8,7.4,5.3,50,50,6,4,12,2,8,18,81,12,22,11,0,0,0,3,3,8,2,6,30,74,14,15,17,2,0,0,3,1,1,3,2014
CÓRDOBA,REAL SOCIEDAD,,0-1,4.5,7.3,5.5,53,47,1,3,7,3,5,34,70,33,21,13,3,0,0,5,1,7,1,4,36,60,24,41,12,2,0,0,1,1,1,1,2014
EIBAR,GRANADA,,1-0,3.8,5.9,6.4,52,48,3,3,7,1,7,24,64,29,16,14,3,0,0,4,3,8,1,8,27,66,21,29,14,4,0,0,1,1,1,1,2014
MÁLAGA,RAYO VALLECANO,,3-0,5.3,8.1,4.6,43,57,7,8,18,3,7,16,71,16,19,18,1,0,0,3,4,10,3,4,27,76,14,21,21,4,0,0,4,0,0,4,2014
ESPANYOL,DEPORTIVO,,0-0,2.6,6.6,6.4,60,40,8,5,16,3,11,33,77,22,8,12,2,0,0,4,1,5,0,0,25,66,16,38,17,4,0,0,0,0,0,0,2014
SEVILLA FC,VILLARREAL,,0-0,6.4,6.7,6,54,46,1,4,8,3,3,25,74,13,13,19,3,0,0,5,4,10,1,2,20,74,11,22,15,4,0,0,2,1,1,2,2014
GETAFE,ATLETICO MADRID,,0-1,3.9,5.4,7,39,61,3,3,10,4,1,24,72,14,24,17,3,0,1,3,7,12,2,8,36,82,13,19,11,3,0,0,0,1,1,0,2014
DEPORTIVO,GETAFE,,0-1,5.3,6,6.8,56,44,5,2,9,2,4,38,75,10,24,7,2,0,0,9,4,16,3,6,27,68,13,25,23,1,0,0,1,2,2,1,2014
GRANADA,REAL MADRID,,0-2,6.5,4.8,8,33,67,5,5,11,1,3,14,78,14,16,19,1,0,0,7,8,18,3,4,23,88,12,17,9,2,0,0,0,4,4,0,2014
ATLETICO MADRID,CÓRDOBA,,1-0,8,7,5.7,61,39,4,8,16,4,4,25,85,15,7,13,0,0,0,3,4,8,1,5,17,74,18,29,13,2,0,0,4,2,2,4,2014
BARCELONA,CELTA,,0-0,5.4,6.5,6.7,67,33,10,9,19,0,9,24,82,16,11,10,1,0,0,2,4,10,4,5,16,63,13,30,29,2,0,0,0,1,1,0,2014
REAL SOCIEDAD,MÁLAGA,,0-0,3.1,5.4,7.4,55,45,2,2,4,2,6,21,75,20,16,18,2,0,0,3,2,6,1,3,26,73,14,29,22,5,0,0,0,1,1,0,2014
ATHLETIC,SEVILLA FC,,1-0,2.6,6.7,5.8,43,57,4,2,9,3,4,24,63,23,27,24,4,0,0,3,1,4,0,8,28,73,28,15,11,3,0,0,1,0,0,1,2014
VILLARREAL,VALENCIA,,0-1,6.2,5.3,7.3,63,37,3,4,14,7,11,23,79,13,11,12,2,0,0,2,3,6,1,4,26,71,13,28,15,3,0,0,1,3,3,1,2014
LEVANTE,ALMERÍA,,1-0,5.8,6.4,5.6,42,58,3,5,11,3,3,24,71,24,23,17,3,0,0,4,5,14,5,6,22,79,16,13,17,2,0,0,2,1,1,2,2014
ELCHE,ESPANYOL,,1-0,7.4,6.3,5.4,39,61,4,4,10,2,4,21,72,17,37,19,4,2,0,4,5,15,6,10,24,78,17,14,10,2,0,0,2,1,1,2,2014
RAYO VALLECANO,EIBAR,,0-1,7.8,5.6,6.1,71,29,7,6,16,3,11,47,79,16,4,10,1,0,0,3,5,8,0,2,22,60,16,40,14,2,0,0,2,3,3,2,2014
CÓRDOBA,DEPORTIVO,,0-0,2.6,6.6,5.6,68,32,6,6,14,2,3,35,84,21,23,10,4,0,0,3,2,6,1,2,40,59,21,24,5,1,1,0,0,0,0,0,2014
ALMERÍA,BARCELONA,,1-0,6.1,5.3,6.9,27,73,3,2,6,1,4,31,60,10,25,16,2,0,0,11,6,18,1,5,13,88,17,20,9,0,0,0,1,2,2,1,2014
GETAFE,ELCHE,,0-0,2.8,6.1,7.2,55,45,11,3,17,3,9,22,74,28,14,11,1,0,0,4,5,11,2,2,26,71,20,25,8,2,0,0,0,0,0,0,2014
REAL MADRID,RAYO VALLECANO,,02-Jan,7.6,7.8,4.8,44,56,4,11,16,1,4,23,81,12,16,12,0,0,0,7,6,15,2,6,21,88,9,10,15,4,0,0,5,1,1,5,2014
MÁLAGA,EIBAR,,0-1,6.3,7.4,4.3,56,44,6,8,15,1,5,28,77,14,16,9,3,0,0,2,3,7,2,3,22,67,14,12,15,3,1,0,2,1,1,2,2014
CELTA,GRANADA,,0-0,2.4,7,5.6,65,35,8,5,17,4,6,25,81,20,13,14,1,0,0,5,1,8,2,2,27,64,13,20,17,4,0,0,0,0,0,0,2014
SEVILLA FC,LEVANTE,,1-0,5.2,6.8,6.1,60,40,8,6,15,1,6,17,81,17,27,13,2,0,0,7,5,17,5,5,17,72,23,33,10,6,0,0,1,1,1,1,2014
ESPANYOL,VILLARREAL,,0-0,4.7,6.3,6.6,57,43,7,4,11,0,6,37,67,26,13,16,3,0,0,3,5,9,1,7,21,62,22,48,25,3,0,0,1,1,1,1,2014
VALENCIA,ATHLETIC,,0-0,1.5,6.8,6.4,49,51,6,1,8,1,2,29,69,19,20,13,0,0,0,3,1,4,0,4,32,71,26,21,17,2,0,0,0,0,0,0,2014
REAL SOCIEDAD,ATLETICO MADRID,,01-Jan,5.4,7,5.1,55,45,5,5,11,1,2,39,77,13,26,17,2,0,0,2,2,4,0,1,39,70,23,30,17,7,1,0,2,1,1,2,2014
ATHLETIC,ESPANYOL,,2-0,5.8,7.4,5.4,54,46,3,5,9,1,5,28,77,24,21,15,1,0,0,4,3,8,1,3,25,73,20,13,18,5,0,0,3,1,1,3,2014
ATLETICO MADRID,MÁLAGA,,2-0,5.6,6.9,5,48,52,5,5,11,1,4,31,77,11,9,19,2,1,0,1,1,4,3,3,16,80,8,16,14,4,1,0,3,1,1,3,2014
EIBAR,REAL MADRID,,0-2,5.9,4.1,8.7,38,62,5,2,10,3,4,25,73,14,7,16,4,0,0,9,8,19,2,2,16,86,12,22,9,2,0,0,0,4,4,0,2014
BARCELONA,SEVILLA FC,,1-0,5.7,9.1,4.7,70,30,3,10,16,3,5,23,91,5,14,8,1,0,0,1,0,2,1,4,16,77,4,16,21,2,0,0,5,1,1,5,2014
DEPORTIVO,REAL SOCIEDAD,,0-0,3.2,6.6,6.4,53,47,2,4,11,5,8,25,77,16,30,14,3,0,0,9,5,17,3,6,31,72,19,35,11,1,0,0,0,0,0,0,2014
RAYO VALLECANO,CELTA,,1-0,3.8,6.3,5,44,56,5,3,9,1,2,31,58,24,24,14,6,0,0,10,4,15,1,9,34,67,28,12,16,5,0,0,1,0,0,1,2014
LEVANTE,VALENCIA,,0-0,5.7,6.3,5.7,31,69,3,5,10,2,4,17,61,15,25,20,2,0,0,6,6,17,5,5,26,85,12,12,18,1,0,0,2,1,1,2,2014
ELCHE,CÓRDOBA,,0-1,7.4,5.7,5.8,53,47,6,6,17,5,6,24,78,20,10,16,3,0,0,5,3,10,2,2,15,78,20,29,14,4,0,0,2,2,2,2,2014
VILLARREAL,GETAFE,,2-0,5.5,6.8,6.2,53,47,5,4,10,1,7,31,75,14,18,15,3,0,0,4,5,13,4,4,36,72,10,20,14,2,0,0,2,1,1,2,2014
GRANADA,ALMERÍA,,0-0,3.5,6.8,5.6,61,39,8,11,24,5,10,23,82,24,18,10,4,0,0,2,1,3,0,5,19,66,11,32,7,1,1,0,0,0,0,0,2014
REAL SOCIEDAD,ELCHE,,2-0,5.2,7.2,5.5,51,49,2,8,12,2,2,25,76,23,18,15,2,0,0,8,5,13,0,1,23,75,14,11,15,4,0,0,3,0,0,3,2014
GETAFE,ATHLETIC,,0-1,6.3,5.8,6.7,49,51,2,7,14,5,2,27,74,16,11,12,7,0,0,3,3,8,2,4,17,75,18,30,15,5,0,0,1,2,2,1,2014
ESPANYOL,LEVANTE,,02-Jan,5.3,6.2,5.9,57,43,3,4,10,3,5,40,63,24,35,21,2,0,0,8,3,16,5,6,39,52,33,31,10,3,0,0,2,1,1,2,2014
MÁLAGA,REAL MADRID,,0-1,7.9,5.6,6.5,42,58,4,7,12,1,5,21,82,5,14,17,2,0,0,9,9,21,3,6,15,88,11,22,11,3,1,0,1,2,2,1,2014
CELTA,EIBAR,,0-1,4.6,6.2,5.4,73,27,11,9,29,9,15,25,86,17,8,10,4,0,0,4,2,8,2,1,14,61,19,34,21,5,0,0,0,1,1,0,2014
ATLETICO MADRID,DEPORTIVO,,1-0,3.8,7.3,5.7,53,47,4,4,9,1,5,34,85,12,21,15,2,0,0,1,1,3,2,3,31,80,7,19,18,2,0,0,2,0,0,2,2014
SEVILLA FC,GRANADA,,01-Jan,6.8,8,4.9,65,35,3,8,13,2,7,20,81,19,6,18,1,0,0,3,4,9,2,4,22,67,21,35,20,2,0,0,5,1,1,5,2014
CÓRDOBA,VILLARREAL,,0-1,4,5.5,7.1,51,49,2,2,11,7,9,32,76,21,16,7,3,0,0,3,7,10,0,8,23,78,23,27,13,2,0,0,0,2,2,0,2014
VALENCIA,BARCELONA,,0-0,4.1,6.3,6.8,29,71,6,4,12,2,5,16,74,11,27,10,4,0,0,5,3,11,3,8,18,87,10,11,9,4,0,0,0,1,1,0,2014
ALMERÍA,RAYO VALLECANO,,0-0,3.3,5.8,7,44,56,7,1,11,3,5,33,65,25,28,13,4,0,0,5,4,11,2,6,32,73,9,22,12,4,0,0,0,1,1,0,2014
ELCHE,ATLETICO MADRID,,0-1,3.2,5.3,7.4,43,57,5,1,8,2,6,29,76,10,11,18,2,0,0,0,3,4,1,1,20,81,14,27,15,0,0,0,0,2,2,0,2014
ATHLETIC,CÓRDOBA,,0-1,3.6,5,7.1,68,32,8,3,15,4,15,19,83,22,13,13,4,0,0,3,3,7,1,4,21,66,25,50,14,6,0,0,0,1,1,0,2014
